ТИК;УИК;Дегтярев Михаил Владимирович;Левичев Николай Владимирович;Мельников Иван Иванович;Митрохин Сергей Сергеевич;Навальный Алексей Анатольевич;Собянин Сергей Семенович;ТИК;УИК
район Косино-Ухтомский ;1069;3,72;2,64;8,53;2,33;23,72;56,90;район Косино-Ухтомский ;1069
район Косино-Ухтомский ;1070;2,82;3,20;7,89;1,50;21,99;61,84;район Косино-Ухтомский ;1070
район Косино-Ухтомский ;1071;3,47;1,88;5,49;1,59;24,86;61,13;район Косино-Ухтомский ;1071
район Косино-Ухтомский ;1072;2,42;2,42;6,83;1,98;23,35;62,56;район Косино-Ухтомский ;1072
район Косино-Ухтомский ;1073;1,26;1,05;12,34;1,88;21,34;61,51;район Косино-Ухтомский ;1073
район Косино-Ухтомский ;1074;2,88;1,52;8,97;1,02;21,15;62,94;район Косино-Ухтомский ;1074
район Косино-Ухтомский ;1075;2,08;2,22;9,17;1,67;19,58;62,78;район Косино-Ухтомский ;1075
район Косино-Ухтомский ;1076;1,95;0,58;7,98;1,36;21,01;65,95;район Косино-Ухтомский ;1076
район Косино-Ухтомский ;1077;2,77;2,28;8,65;2,12;21,37;62,15;район Косино-Ухтомский ;1077
район Косино-Ухтомский ;1078;2,37;1,82;11,45;1,40;18,85;62,29;район Косино-Ухтомский ;1078
район Косино-Ухтомский ;1079;2,59;1,07;12,04;2,90;19,66;60,21;район Косино-Ухтомский ;1079
район Метрогородок ;1080;3,26;1,72;13,92;4,12;23,71;52,23;район Метрогородок ;1080
район Метрогородок ;1081;3,91;1,42;10,12;4,09;25,75;52,58;район Метрогородок ;1081
район Метрогородок ;1082;3,70;2,87;11,29;3,90;22,38;54,00;район Метрогородок ;1082
район Метрогородок ;1083;3,15;1,67;12,99;5,75;23,19;51,58;район Метрогородок ;1083
район Метрогородок ;1084;3,64;2,30;11,49;4,21;23,75;53,64;район Метрогородок ;1084
район Метрогородок ;1085;3,65;2,51;10,50;4,11;21,23;56,16;район Метрогородок ;1085
район Метрогородок ;1086;3,23;1,53;11,22;2,38;25,51;53,91;район Метрогородок ;1086
район Метрогородок ;1087;4,10;2,23;13,78;3,17;22,53;52,51;район Метрогородок ;1087
район Метрогородок ;1088;3,83;3,33;17,14;2,83;23,79;48,42;район Метрогородок ;1088
район Метрогородок ;1089;3,17;2,61;12,48;4,10;20,86;54,93;район Метрогородок ;1089
район Метрогородок ;1090;3,62;2,36;12,44;3,94;23,62;52,44;район Метрогородок ;1090
район Метрогородок ;1091;3,42;2,52;14,05;5,77;28,29;44,68;район Метрогородок ;1091
район Метрогородок ;1092;5,00;5,00;0,00;0,00;25,00;65,00;район Метрогородок ;1092
район Метрогородок ;1093;0,00;0,00;0,00;0,00;0,00;0,00;район Метрогородок ;1093
район Метрогородок ;3674;1,41;0,00;7,04;2,82;12,68;74,65;район Метрогородок ;3674
район Метрогородок ;3675;5,88;0,00;11,76;5,88;11,76;64,71;район Метрогородок ;3675
район Метрогородок ;3676;0,00;2,56;20,51;7,69;7,69;61,54;район Метрогородок ;3676
район Метрогородок ;3677;0,00;0,00;0,00;5,00;25,00;70,00;район Метрогородок ;3677
район Метрогородок ;3678;3,37;1,12;2,25;2,25;3,37;87,64;район Метрогородок ;3678
район Новокосино ;1121;2,62;4,01;8,80;3,55;26,85;53,09;район Новокосино ;1121
район Новокосино ;1122;2,73;1,72;8,62;2,59;23,85;58,76;район Новокосино ;1122
район Новокосино ;1123;3,37;2,96;9,43;3,10;24,39;55,66;район Новокосино ;1123
район Новокосино ;1124;3,58;2,15;9,89;3,15;21,78;58,31;район Новокосино ;1124
район Новокосино ;1125;1,62;3,23;8,83;2,49;25,12;57,84;район Новокосино ;1125
район Новокосино ;1126;3,44;3,07;8,34;2,33;24,05;57,55;район Новокосино ;1126
район Новокосино ;1127;2,41;6,02;10,84;3,61;21,69;54,22;район Новокосино ;1127
район Новокосино ;1128;1,17;1,47;10,41;1,91;21,41;62,61;район Новокосино ;1128
район Новокосино ;1129;1,88;1,48;7,79;3,49;29,66;54,36;район Новокосино ;1129
район Новокосино ;1130;1,80;2,99;9,83;2,64;23,74;57,43;район Новокосино ;1130
район Новокосино ;1131;3,56;2,37;9,96;2,73;23,49;56,58;район Новокосино ;1131
район Новокосино ;1132;2,85;2,48;10,15;2,85;25,00;55,07;район Новокосино ;1132
район Новокосино ;1133;2,51;2,92;7,52;3,20;20,75;60,58;район Новокосино ;1133
район Новокосино ;1134;2,87;1,87;6,90;2,87;21,26;62,50;район Новокосино ;1134
район Новокосино ;1135;4,54;2,02;7,23;1,68;22,69;58,82;район Новокосино ;1135
район Новокосино ;1136;2,76;3,09;6,99;0,98;22,76;61,14;район Новокосино ;1136
район Новокосино ;1137;2,93;1,91;8,21;1,91;21,85;61,73;район Новокосино ;1137
район Новокосино ;1138;2,68;2,17;8,42;1,79;21,05;61,86;район Новокосино ;1138
район Новокосино ;1139;2,04;3,07;7,02;1,92;25,29;59,39;район Новокосино ;1139
район Новокосино ;1140;3,24;2,07;9,46;1,42;23,58;58,29;район Новокосино ;1140
район Новокосино ;1141;4,11;2,79;5,87;1,03;22,14;62,32;район Новокосино ;1141
район Новокосино ;1142;4,10;2,79;9,68;1,68;18,81;60,34;район Новокосино ;1142
район Новокосино ;1143;5,71;3,43;5,87;1,63;21,21;60,52;район Новокосино ;1143
район Новокосино ;1144;2,86;2,08;9,35;1,04;23,64;60,26;район Новокосино ;1144
район Новокосино ;1145;2,66;3,76;9,09;2,51;22,10;58,46;район Новокосино ;1145
